scorer,DeepCut_resnet50_VF_exampleNov9shuffle1_1030000,DeepCut_resnet50_VF_exampleNov9shuffle1_1030000,DeepCut_resnet50_VF_exampleNov9shuffle1_1030000,DeepCut_resnet50_VF_exampleNov9shuffle1_1030000,DeepCut_resnet50_VF_exampleNov9shuffle1_1030000,DeepCut_resnet50_VF_exampleNov9shuffle1_1030000,DeepCut_resnet50_VF_exampleNov9shuffle1_1030000,DeepCut_resnet50_VF_exampleNov9shuffle1_1030000,DeepCut_resnet50_VF_exampleNov9shuffle1_1030000
bodyparts,leftHead,leftHead,leftHead,topHead,topHead,topHead,rightHead,rightHead,rightHead
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
85,688.159321308136,-0.7525434494018555,6.344838539007469e-07,684.628387093544,1.1075115203857422,2.5014826405822532e-06,0.5553927421569824,4.237657874822617,3.51461608261161e-07
86,688.2178421020508,-0.7017478942871094,6.51511697924434e-07,684.5069181919098,0.7424886226654053,2.499408083167509e-06,0.5953030586242676,4.279777318239212,3.435001474372257e-07
87,688.256995677948,-0.7961325645446777,6.090945703363104e-07,684.409212499857,0.9035463333129883,2.3378754576697247e-06,0.5018889904022217,4.38849413394928,3.101759205037524e-07
88,688.2736954689026,-0.716529369354248,6.875627036606602e-07,684.4571772813797,1.1132068634033203,2.531799736971152e-06,0.5566480159759521,4.216174408793449,3.2039051234278304e-07
89,688.3629202842712,-0.5329680442810059,8.313519401781377e-07,684.4943097829819,1.0171513557434082,3.0891114874975756e-06,0.5396642684936523,4.2737071216106415,3.174019127527572e-07
90,653.4953603744507,-1.3595209121704102,5.169861196918646e-07,653.4986792802811,3.0748634934425354,1.6647818483761512e-06,0.501061201095581,4.479589015245438,3.440473221871798e-07
91,653.1899814605713,-1.3533787727355957,5.33346110387356e-07,684.952131986618,1.184926986694336,2.470503659424139e-06,0.5252432823181152,4.459373086690903,3.262868517595052e-07
92,687.9433772563934,-0.8791747093200684,5.703488454855687e-07,684.8390624523163,1.074986457824707,2.8226729682501173e-06,0.6421222686767578,4.487290620803833,3.511828481350676e-07
93,653.2288328409195,-1.5338025093078613,4.2755758045132097e-07,684.8444412350655,1.198373556137085,1.923486252053408e-06,0.6240518093109131,4.543561816215515,2.9306514193194744e-07
94,653.0888817310333,-1.3496990203857422,7.515712354688731e-07,684.6439648270607,1.0130970478057861,2.0290869997552363e-06,657.081549167633,3.740744113922119,3.363840050951694e-07
95,653.3307968378067,-1.4411797523498535,6.50355161724292e-07,684.723587334156,1.023317813873291,2.2879455627844436e-06,0.5440876483917236,4.373949944972992,3.0104621373538976e-07
