scorer,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000,DeepCut_resnet50_VF_example2Mar16shuffle1_1030000
bodyparts,stimulusLeft,stimulusLeft,stimulusLeft,stimulusRight,stimulusRight,stimulusRight,leftHead,leftHead,leftHead,topHead,topHead,topHead,rightHead,rightHead,rightHead
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
20,177.16078925132751,347.33400428295135,1.0,1651.3318719863892,714.3487721681595,0.9999985694885254,819.8546692878008,692.9481834769249,1.0,806.6025302410126,700.1927552968264,1.0,794.1888830661774,690.2544595003128,0.9999998807907104
21,178.46471393108368,348.57450020313263,1.0,1650.7887762784958,714.3838115930557,0.9999992847442627,818.2506359815598,690.8268395662308,1.0,804.1588527411222,697.0354132652283,1.0,792.3017363548279,685.1916642189026,0.9999997615814209
22,178.82811415195465,347.46494364738464,1.0,1650.1733654737473,719.9769368171692,0.999998927116394,813.5513927936554,688.7550947666168,1.0,799.0412952899933,693.7653095722198,0.9999998807907104,787.0408555269241,676.4663084745407,0.9999994039535522
23,179.98831080645323,345.9703550338745,1.0,1649.4781160354614,720.2481615543365,0.9999998807907104,801.1235055923462,687.4361090660095,0.9999996423721313,781.2093200683594,680.0890026092529,1.0,785.8465468883514,660.9897583127022,1.0
24,179.99571685492992,345.0017194747925,1.0,1649.3090233802795,725.6127998828888,0.9999997615814209,787.5097417831421,678.8264946937561,1.0,772.2820282280445,665.765200138092,1.0,781.203609585762,649.1862397193909,0.9999998807907104
25,180.93631035089493,346.95553958415985,1.0,1648.3845365047455,727.968496799469,0.999997615814209,774.7406003475189,668.1790237277746,1.0,765.8477959632874,652.2360345721245,1.0,778.0053497552872,638.7384252548218,1.0
26,180.82178485393524,345.15719985961914,1.0,1648.8740139007568,728.3908772468567,0.9999984502792358,769.991649389267,663.2987141609192,1.0,761.9419665336609,648.1530804634094,1.0,773.6352840662003,635.2397491335869,1.0
27,182.8233642578125,344.74753761291504,1.0,1645.827388882637,736.3970506191254,0.999956488609314,768.3056325912476,660.3872115015984,1.0,760.4868955612183,646.3080809116364,1.0,771.7313305735588,631.7435989379883,1.0
28,182.27283477783203,345.87972593307495,1.0,1646.850043296814,735.0982275009155,0.9999914169311523,767.6790261268616,659.2370771765709,1.0,759.6926414966583,645.3445253372192,1.0,770.616522192955,631.0656571388245,1.0
29,181.85442805290222,344.0649456977844,1.0,1647.01451253891,740.5785248279572,0.9999940395355225,768.3043899536133,659.0842435956001,1.0,759.8252577781677,644.938568174839,1.0,770.8847390413284,630.3097047805786,1.0
30,182.9172432422638,345.00099515914917,0.9999998807907104,1647.2417058944702,738.9008325338364,0.9999978542327881,770.2773433923721,660.9520577192307,1.0,761.1923952102661,645.437383055687,1.0,772.470346570015,630.0285241603851,1.0
31,182.94581961631775,343.4456341266632,1.0,1646.933222770691,743.1128330230713,0.9999948740005493,770.8782938718796,660.9364519119263,1.0,761.534462928772,645.1235172748566,1.0,773.3269194364548,630.6687812805176,1.0
32,182.0630202293396,342.24694442749023,1.0,1646.7306470870972,743.8660533428192,0.9999778270721436,771.2338642477989,660.8015429973602,1.0,762.1871309280396,645.283346414566,1.0,774.2387385368347,630.0171296596527,1.0
33,183.1045277118683,343.6830503940582,0.9999998807907104,1646.5498123168945,745.8702535629272,0.99994957447052,772.7319639325142,661.142255783081,1.0,762.7741446495056,645.7407215833664,1.0,774.439172744751,630.2762885093689,1.0
34,182.75453519821167,342.33539867401123,1.0,1646.5938410758972,746.3981051445007,0.9999873638153076,772.3845652937889,659.8432406336069,1.0,762.6860103607178,644.2073440849781,1.0,774.6507272720337,628.9260940551758,1.0
35,182.4209384918213,339.27873039245605,1.0,1646.808696269989,747.7605411112309,0.9999861717224121,772.104812271893,658.6317147016525,1.0,762.0977725982666,642.8062562942505,1.0,774.2938446998596,627.5508804321289,1.0
36,181.49044835567474,339.07505398988724,1.0,1646.518371105194,748.2817663550377,0.9999569654464722,772.1276362985373,657.5947151184082,1.0,761.4138174057007,641.8124468326569,1.0,773.6893572807312,625.6413202285767,1.0
37,181.5863664150238,339.1248020529747,1.0,1646.466290473938,749.5029928684235,0.9999785423278809,769.9723906517029,655.1915564537048,1.0,760.3654828071594,639.8837215900421,1.0,771.622552394867,624.5712804794312,1.0
38,180.18667694926262,336.89163303375244,1.0,1644.701928138733,749.0821158885956,0.9999573230743408,770.2545759677887,654.4034893512726,1.0,760.0653157234192,638.7335262298584,1.0,772.383881688118,622.6249144077301,1.0
39,179.26875990629196,335.3589949607849,1.0,1643.8713126182556,750.9577209949493,0.9999607801437378,768.5099666118622,653.4905598163605,1.0,758.8827044963837,638.3963854312897,1.0,771.2785181999207,621.5847405195236,1.0
40,177.46843361854553,332.26574581861496,1.0,1641.8724837303162,751.2490015029907,0.9999939203262329,766.9032115936279,653.091020822525,1.0,758.3124923706055,638.2213871479034,1.0,770.4359701871872,622.3160791397095,1.0
41,176.51619458198547,331.616797298193,1.0,1641.432801246643,751.7173519134521,0.9999985694885254,765.2596650123596,652.79866117239,0.9999998807907104,757.7944025993347,637.4977678060532,1.0,769.6781299114227,622.5038938522339,1.0
42,176.05550026893616,330.0851821899414,0.9999998807907104,1640.8624544143677,751.8664135932922,0.9999990463256836,765.7979056835175,652.8870407938957,0.9999998807907104,757.7007991075516,637.176407456398,1.0,769.9966468811035,622.0587995052338,1.0
43,176.37624287605286,328.835768699646,0.9999998807907104,1639.6507680416107,752.2123639583588,0.9999997615814209,765.9771653413773,652.9820306897163,0.9999998807907104,758.2650108337402,637.4884467124939,1.0,770.4491347074509,621.947269320488,1.0
