id,sex,condition,trial,object,position_object,startingframe,endingframe,distanceMoved,TOPCLOSE,TOP,CENTER,BOTTOM,BOTTOMCLOSE,frontalbottom,blindbottom,lateralLeftbottom,lateralRightbottom,LeftALLbottom,RightALLbottom,frontaltop,blindtop,lateralLefttop,lateralRighttop,LeftALLtop,RightALLtop,index_nan_no_stim,frames
1.0,female,example,1.0,red,top,179.0,1078.0,1.252,0.0,0.0,0.0,0.0,1.0,0.0,0.731,0.269,0.0,0.269,0.0,1.0,0.0,0.0,0.0,0.815,0.185,192.0,12.0
1.0,female,example,1.0,red,top,179.0,1078.0,2.495,0.0,0.0,0.0,0.0,1.0,0.0,0.81,0.19,0.0,0.19,0.0,1.0,0.0,0.0,0.0,1.0,0.0,193.0,13.0
1.0,female,example,1.0,red,top,179.0,1078.0,4.313,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,194.0,14.0
1.0,female,example,1.0,red,top,179.0,1078.0,3.734,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.971,0.0,0.029,0.0,1.0,0.0,195.0,15.0
1.0,female,example,1.0,red,top,179.0,1078.0,5.438,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,196.0,16.0
1.0,female,example,1.0,red,top,179.0,1078.0,5.06,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,197.0,17.0
1.0,female,example,1.0,red,top,179.0,1078.0,0.745,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,198.0,18.0
1.0,female,example,1.0,red,top,179.0,1078.0,0.171,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,199.0,19.0
1.0,female,example,1.0,red,top,179.0,1078.0,1.255,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,200.0,20.0
1.0,female,example,1.0,red,top,179.0,1078.0,0.502,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,201.0,21.0
1.0,female,example,1.0,red,top,179.0,1078.0,0.99,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,202.0,22.0
1.0,female,example,1.0,red,top,179.0,1078.0,1.556,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,203.0,23.0
1.0,female,example,1.0,red,top,179.0,1078.0,0.661,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,204.0,24.0
1.0,female,example,1.0,red,top,179.0,1078.0,0.261,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,205.0,25.0
1.0,female,example,1.0,red,top,179.0,1078.0,1.081,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,206.0,26.0
1.0,female,example,1.0,red,top,179.0,1078.0,1.886,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,207.0,27.0
1.0,female,example,1.0,red,top,179.0,1078.0,5.351,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,208.0,28.0
1.0,female,example,1.0,red,top,179.0,1078.0,0.94,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,209.0,29.0
1.0,female,example,1.0,red,top,179.0,1078.0,1.67,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,210.0,30.0
1.0,female,example,1.0,red,top,179.0,1078.0,2.054,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,211.0,31.0
1.0,female,example,1.0,red,top,179.0,1078.0,0.749,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,212.0,32.0
1.0,female,example,1.0,red,top,179.0,1078.0,0.463,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,213.0,33.0
1.0,female,example,1.0,red,top,179.0,1078.0,1.106,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,214.0,34.0
1.0,female,example,1.0,red,top,179.0,1078.0,1.229,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,215.0,35.0
1.0,female,example,1.0,red,top,179.0,1078.0,0.993,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,216.0,36.0
1.0,female,example,1.0,red,top,179.0,1078.0,0.17,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,217.0,37.0
1.0,female,example,1.0,red,top,179.0,1078.0,0.439,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,218.0,38.0
1.0,female,example,1.0,red,top,179.0,1078.0,0.664,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,219.0,39.0
1.0,female,example,1.0,red,top,179.0,1078.0,0.549,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,220.0,40.0
1.0,female,example,1.0,red,top,179.0,1078.0,0.456,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,221.0,41.0
1.0,female,example,1.0,red,top,179.0,1078.0,1.065,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,222.0,42.0
1.0,female,example,1.0,red,top,179.0,1078.0,0.429,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,223.0,43.0
1.0,female,example,1.0,red,top,179.0,1078.0,1.78,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,224.0,44.0
1.0,female,example,1.0,red,top,179.0,1078.0,1.952,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,225.0,45.0
1.0,female,example,1.0,red,top,179.0,1078.0,1.606,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,226.0,46.0
1.0,female,example,1.0,red,top,179.0,1078.0,0.67,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.633,0.367,227.0,47.0
1.0,female,example,1.0,red,top,179.0,1078.0,0.921,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.735,0.265,228.0,48.0
1.0,female,example,1.0,red,top,179.0,1078.0,0.798,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.775,0.225,229.0,49.0
1.0,female,example,1.0,red,top,179.0,1078.0,1.043,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.791,0.209,230.0,50.0
1.0,female,example,1.0,red,top,179.0,1078.0,0.682,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.914,0.086,231.0,51.0
1.0,female,example,1.0,red,top,179.0,1078.0,0.263,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.684,0.316,232.0,52.0
1.0,female,example,1.0,red,top,179.0,1078.0,0.407,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.909,0.091,233.0,53.0
1.0,female,example,1.0,red,top,179.0,1078.0,0.295,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.772,0.228,234.0,54.0
